"Quadrant","FID_","Tree_ID","Latitude","Longitude","Germ_Year","Cohort","Age_2013","GNSS_Ht","Numer_Orde","Z","Y","X","Tree.ID","Height_Tree..cm."
2,78,"11",38.859009,-105.089771,1989,"1975-1999",23.9899,3709.745,11,3709.749853,4301134.684,492211.1691,"11","58.42"
2,68,"1",38.85877,-105.089791,1991,"1975-1999",21.4741,3718.405,1,3718.375868,4301108.164,492209.4077,"1","50.8"
3,83,"16",38.859167,-105.089663,1996,"1975-1999",16.4715,3708.264,16,3708.181792,4301152.207,492220.5567,"16","22.86"
3,98,"31",38.859418,-105.089878,1978,"1975-1999",34.5653,3693.572,31,3693.539549,4301180.079,492201.9301,"31","63.5"
4,220,"152",38.859898,-105.090257,1974,"1950-1974",38.0869,3666.354,153,3666.300535,4301233.376,492169.0996,"152","32"
4,123,"56",38.859526,-105.090141,1981,"1975-1999",31.5083,3680.306,56,3680.28051,4301192.086,492179.1233,"56","45.72"
4,140,"73",38.859423,-105.090329,1949,"1925-1949",63.1493,3679.479,73,3679.497717,4301180.672,492162.8006,"73",""
4,198,"130",38.859631,-105.090629,1994,"1975-1999",18.1237,3663.547,131,3663.543917,4301203.78,492136.7946,"130","61"
4,213,"145",38.859789,-105.090249,1967,"1950-1974",45.1237,3669.107,146,3668.875283,4301221.28,492169.7817,"145","89"
4,183,"115",38.859659,-105.090492,1954,"1950-1974",58.5653,3666.717,116,3666.632427,4301206.875,492148.6842,"115","48"
6,582,"493",38.86046,-105.091161,1985,"1975-1999",27.7491,3623.167,515,3623.210625,4301295.818,492090.7287,"493","40"
6,537,"450",38.86047,-105.090983,1954,"1950-1974",58.3573,3630.944,470,3630.875788,4301296.913,492106.1734,"450","210.82"
6,449,"372",38.860334,-105.090835,1961,"1950-1974",51.3573,3636.115,382,3636.182901,4301281.808,492118.9991,"372","213.36"
6,447,"370",38.860214,-105.090984,1955,"1950-1974",57.5653,3636.663,380,3636.608879,4301268.505,492106.0583,"370","167.64"
6,562,"473",38.860314,-105.091253,1975,"1975-1999",37.1471,3625.393,495,3625.522974,4301279.625,492082.7305,"473","28"
6,570,"481",38.860293,-105.091332,1970,"1950-1974",42.1237,3623.844,503,3623.799882,4301277.301,492075.874,"481","91.44"
6,560,"471",38.860349,-105.091212,1958,"1950-1974",54.9157,3625.611,493,3625.584834,4301283.505,492086.2916,"471","259.08"
6,593,"504",38.860349,-105.091373,1996,"1975-1999",16.4715,3621.483,526,3621.533961,4301283.519,492072.323,"504","33"
6,528,"441",38.860305,-105.091219,1957,"1950-1974",55.5653,3628.501,461,3628.375513,4301278.623,492085.6794,"441","101.6"
6,483,"400",38.860138,-105.091193,1982,"1975-1999",30.5685,3632.481,416,3632.573014,4301260.089,492087.9167,"400","70"
6,477,"394",38.86019,-105.091098,1987,"1975-1999",25.8695,3633.341,410,3633.512903,4301265.851,492096.1648,"394","12.5"
6,633,"541-b",38.86058,-105.091065,1929,"1925-1949",83.3573,3625.074,566,3625.075877,4301309.126,492099.0711,"",""
6,530,"443",38.860353,-105.091157,1960,"1950-1974",52.1237,3629.258,463,3629.206029,4301283.944,492091.0639,"443","177.8"
6,488,"405",38.860197,-105.09126,1998,"1975-1999",14.5919,3628.692,421,3628.984049,4301266.642,492082.1102,"405","22"
6,539,"452",38.860486,-105.09096,1998,"1975-1999",14.5919,3631.049,472,3630.621452,4301298.686,492108.1707,"452","15.24"
6,391,"317",38.860274,-105.09076,1974,"1950-1974",38.1237,3639.886,324,3639.908467,4301275.144,492125.4996,"317","98"
7,786,"691",38.860659,-105.091342,1990,"1975-1999",22.1103,3613.028,719,3613.040538,4301317.917,492075.047,"691","33"
7,1063,"949",38.860778,-105.091483,1975,"1975-1999",37.1471,3607.3,997,3607.294363,4301331.134,492062.8269,"949","96"
7,1049,"935",38.860738,-105.091491,1984,"1975-1999",28.6889,3607.616,983,3607.814645,4301326.696,492062.1283,"935","61"
7,748,"653.3",38.860688,-105.091265,1907,"1900-1924",105.9413,0,681,3614.749269,4301321.128,492081.7308,"653.3","500"
